date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:49	172/172	---MC-	200	added ('OK')	text/plain	date:Fri,%2014%20Apr%202023%2015:04:48%20GMT	https://getpropert.com/robots.txt		(from )
16:04:51	206306/206306	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Apr%202023%2015:04:49%20GMT	https://getpropert.com/	C:/My%20Web%20Sites/prod/getpropert.com/index.html	(from )
16:04:51	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2014%20Apr%202023%2015:04:51%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/prod/www.googletagmanager.com/gtm.05445.delayed	(from https://getpropert.com/)
16:04:52	84/84	---M--	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202023%2020:42:29%20GMT	https://getpropert.com/wp-content/plugins/Plugin/cryptoprice.css?ver=6.2	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/Plugin/cryptopriceae48.css	(from https://getpropert.com/)
16:04:57	73458/73458	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2005%20Apr%202023%2008:55:04%20GMT	https://getpropert.com/feed/	C:/My%20Web%20Sites/prod/getpropert.com/feed/index.html	(from https://getpropert.com/)
16:04:58	712/712	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2005%20Apr%202023%2008:55:04%20GMT	https://getpropert.com/comments/feed/	C:/My%20Web%20Sites/prod/getpropert.com/comments/feed/index.html	(from https://getpropert.com/)
16:05:14	770/770	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Aug%202022%2023:07:27%20GMT	https://getpropert.com/wp-content/plugins/wp-call-button/assets/block/build/index.css?ver=a1dbfd3fcfcfb0740ca8c4771bbdc4c3	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/wp-call-button/assets/block/build/index2580.css	(from https://getpropert.com/)
16:05:15	291/291	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2022:12:52%20GMT	https://getpropert.com/wp-includes/css/classic-themes.min.css?ver=6.2	C:/My%20Web%20Sites/prod/getpropert.com/wp-includes/css/classic-themes.minae48.css	(from https://getpropert.com/)
16:05:16	115991/115991	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jun%202022%2015:49:01%20GMT	https://getpropert.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.min.css?ver=1.11.15	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.mincb2f.css	(from https://getpropert.com/)
16:05:17	26702/26702	---M--	200	added ('OK')	text/css	date:Sun,%2002%20Apr%202023%2022:12:49%20GMT	https://getpropert.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=1.0	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min5152.css	(from https://getpropert.com/)
16:05:18	59344/59344	---M--	200	added ('OK')	text/css	date:Sun,%2002%20Apr%202023%2022:12:49%20GMT	https://getpropert.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.0	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min5152.css	(from https://getpropert.com/)
16:05:18	9503/9503	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jun%202022%2015:49:01%20GMT	https://getpropert.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/vegas/vegas.min.css?ver=2.4.0	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/vegas/vegas.min8d5a.css	(from https://getpropert.com/)
16:05:18	748/748	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Feb%202023%2013:05:59%20GMT	https://getpropert.com/wp-content/plugins/crypto/public/css/crypto-public.css?ver=2.2	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/crypto/public/css/crypto-publicdc8c.css	(from https://getpropert.com/)
16:05:19	229698/229698	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Feb%202023%2013:05:59%20GMT	https://getpropert.com/wp-content/plugins/crypto/public/css/flexi-public-min.css?ver=2.2	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/crypto/public/css/flexi-public-mindc8c.css	(from https://getpropert.com/)
16:05:19	19571/19571	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Oct%202022%2022:40:20%20GMT	https://getpropert.com/wp-content/uploads/sinatra/dynamic-styles.css?ver=1665700820	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/uploads/sinatra/dynamic-stylesb03d.css	(from https://getpropert.com/)
16:05:20	162355/162355	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Mar%202022%2010:12:46%20GMT	https://getpropert.com/wp-content/themes/sinatra/assets/css/style.min.css?ver=1.2.1	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/themes/sinatra/assets/css/style.min1576.css	(from https://getpropert.com/)
16:05:21	1781/1781	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Mar%202022%2010:12:46%20GMT	https://getpropert.com/wp-content/themes/sinatra/assets/css/compatibility/elementor.min.css?ver=1.2.1	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/themes/sinatra/assets/css/compatibility/elementor.min1576.css	(from https://getpropert.com/)
16:05:21	19363/19363	---M--	200	added ('OK')	text/css	date:Sun,%2002%20Apr%202023%2022:12:49%20GMT	https://getpropert.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from https://getpropert.com/)
16:05:22	12876/12876	---M--	200	added ('OK')	text/css	date:Sun,%2002%20Apr%202023%2022:12:49%20GMT	https://getpropert.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://getpropert.com/)
16:05:22	81413/81413	---M--	200	added ('OK')	text/css	date:Sun,%2002%20Apr%202023%2022:12:49%20GMT	https://getpropert.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.12.1	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/elementor/assets/css/frontend-lite.minfb6f.css	(from https://getpropert.com/)
16:05:22	1176/1176	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Nov%202022%2013:41:14%20GMT	https://getpropert.com/wp-content/uploads/elementor/css/post-422.css?ver=1667828474	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/uploads/elementor/css/post-422d583.css	(from https://getpropert.com/)
16:05:22	9055/9055	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Apr%202023%2012:20:21%20GMT	https://getpropert.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.12.2	C:/My%20Web%20Sites/prod/getpropert.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.mine56c.css	(from https://getpropert.com/)
